origin,destination,user_profile,user_income,base_total_cost,base_total_time,base_total_distance,base_path_length,base_score,ml_total_cost,ml_total_time,ml_total_distance,ml_path_length,ml_score,fw_distance,fw_path_length,cost_improvement_pct,time_improvement_pct,score_improvement_pct
Milano,Roma,business,60000,76.8825901603908,4.271255008910601,512.550601069272,4,0.6816225914789343,79.13670949789643,6.480900000000004,512.550601069272,4,0.6520159405574809,512.550601069272,4,-2.9318982786650825,-51.73292127207784,-4.343554819275444
Milano,Roma,leisure,32000,76.8825901603908,4.271255008910601,512.550601069272,4,0.6816225914789343,78.91804376913882,6.480900000000004,512.550601069272,4,0.6521523900685712,512.550601069272,4,-2.6474831356509902,-51.73292127207784,-4.3235364817385085
Milano,Roma,budget,20000,76.8825901603908,4.271255008910601,512.550601069272,4,0.6816225914789343,79.13670949789643,6.480900000000004,512.550601069272,4,0.6520159405574809,512.550601069272,4,-2.9318982786650825,-51.73292127207784,-4.343554819275444
Venezia,Napoli,business,60000,141.71741104875193,7.87318950270844,944.7827403250126,6,0.5648492918611026,142.21246090404745,11.570300000000005,944.7827403250126,6,0.5359111351875342,944.7827403250126,6,-0.3493218311229369,-46.95823079096127,-5.123164194509481
Venezia,Napoli,leisure,32000,141.71741104875193,7.87318950270844,944.7827403250126,6,0.5648492918611026,141.84801802278477,11.570300000000005,944.7827403250126,6,0.5360355638556153,944.7827403250126,6,-0.09216014677823467,-46.95823079096127,-5.101135545474412
Venezia,Napoli,budget,20000,141.71741104875193,7.87318950270844,944.7827403250126,6,0.5648492918611026,142.21246090404745,11.570300000000005,944.7827403250126,6,0.5359111351875342,944.7827403250126,6,-0.3493218311229369,-46.95823079096127,-5.123164194509481
Torino,Bari,business,60000,157.05701559161312,8.72538975508962,1047.046770610754,7,0.5445666213259874,161.4038146942244,13.029100000000005,1047.046770610754,7,0.5133325273880078,1047.046770610754,7,-2.7676567558841296,-49.323988563376005,-5.73558729360357
Torino,Bari,leisure,32000,157.05701559161312,8.72538975508962,1047.046770610754,7,0.5445666213259874,160.96648323670917,13.029100000000005,1047.046770610754,7,0.51346074392981,1047.046770610754,7,-2.4892028098010095,-49.323988563376005,-5.712042600120525
Torino,Bari,budget,20000,157.05701559161312,8.72538975508962,1047.046770610754,7,0.5445666213259874,161.4038146942244,13.029100000000005,1047.046770610754,7,0.5133325273880078,1047.046770610754,7,-2.7676567558841296,-49.323988563376005,-5.73558729360357
Bologna,Palermo,business,60000,153.6514586814111,3.4537724009505513,739.3475579872852,4,0.6209792724178381,94.22128636080632,6.939800000000001,739.3475579872852,4,0.5992181805331801,739.3475579872852,4,38.678560444929055,-100.93391209247086,-3.5043185579978013
Bologna,Palermo,leisure,32000,153.6514586814111,3.4537724009505513,739.3475579872852,4,0.6209792724178381,94.00262063204869,6.939800000000001,739.3475579872852,4,0.5993342468745326,739.3475579872852,4,38.82087326814215,-100.93391209247086,-3.4856277020372453
Bologna,Palermo,budget,20000,153.6514586814111,3.4537724009505513,739.3475579872852,4,0.6209792724178381,94.22128636080632,6.939800000000001,739.3475579872852,4,0.5992181805331801,739.3475579872852,4,38.678560444929055,-100.93391209247086,-3.5043185579978013
Firenze,Cagliari,business,60000,137.69809886907012,2.74872622622424,643.1554666130102,3,0.6420335136467088,80.22429163713858,5.551300000000003,643.1554666130102,3,0.6264582913435999,643.1554666130102,3,41.73899836233786,-101.95900002836915,-2.4259204499532543
Firenze,Cagliari,leisure,32000,137.69809886907012,2.74872622622424,643.1554666130102,3,0.6420335136467088,80.0785144846335,5.551300000000003,643.1554666130102,3,0.6265481260663586,643.1554666130102,3,41.8448655846905,-101.95900002836915,-2.411928232903954
Firenze,Cagliari,budget,20000,137.69809886907012,2.74872622622424,643.1554666130102,3,0.6420335136467088,80.22429163713858,5.551300000000003,643.1554666130102,3,0.6264582913435999,643.1554666130102,3,41.73899836233786,-101.95900002836915,-2.4259204499532543
